Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1976-01-01,0.0221869084,0.0396573005,0.0908075524,-1
1976-02-01,0.02500404275027383,0.048426450972518104,0.13063298657649144,-1
1976-03-01,0.02539400985169662,0.05273582373308898,0.22648237177516312,-1
1976-04-01,0.026908642136083398,0.06573893680095902,0.36002687905600456,-1
1976-05-01,0.027283354694016874,0.07385572618945846,0.49015927322918096,-1
1976-06-01,0.028711299394312894,0.07719260599043655,0.5953382631037888,-1
1976-07-01,0.030666579032537115,0.09197926181881957,0.6788189811977402,-1
1976-08-01,0.03683048601861899,0.12025694328927458,0.7450757681520915,-1
1976-09-01,0.04023371844978764,0.12565050585048274,0.7956014972869009,-1
1976-10-01,0.04488109134492782,0.13230467810718505,0.8290361330522461,-1
1976-11-01,0.04829112024495059,0.13474514101520352,0.8450649353919732,-1
1976-12-01,0.0493186673627984,0.13245352436960572,0.8566494995343982,-1
1977-01-01,0.060453480462273806,0.16091307142082645,0.8804728563567594,-1
1977-02-01,0.06622322813944523,0.17143894282094715,0.8989061615231105,-1
1977-03-01,0.06948256728145982,0.18273502156884128,0.9166885690804213,-1
1977-04-01,0.07242559826202064,0.1965646722754434,0.9319539750436723,-1
1977-05-01,0.08199564947032587,0.21765585567034554,0.9370452357310614,-1
1977-06-01,0.08826270420514494,0.23433829938469533,0.9417645987501077,-1
1977-07-01,0.09669279612727018,0.24965236252210754,0.932919936223219,-1
1977-08-01,0.09580545593470963,0.24789660896514124,0.9313572827902425,-1
1977-09-01,0.10055595195733619,0.26044260620998794,0.921398256429752,-1
1977-10-01,0.11569276310806678,0.2982683203954637,0.879079079940344,-1
1977-11-01,0.13445602444714222,0.33808782294726436,0.8323101883386883,-1
1977-12-01,0.19034519654254148,0.42274977097316596,0.8302777510812381,-1
1978-01-01,0.23284552724643204,0.495633527179721,0.8402514179230146,-1
1978-02-01,0.31846451792461566,0.5849497875235252,0.8726436200250034,-1
1978-03-01,0.38822612655495886,0.6557920689028647,0.8989167234208038,-1
1978-04-01,0.41791958651498917,0.7044064725148226,0.9197700616052716,-1
1978-05-01,0.39375862655526717,0.7245966111787174,0.9363206024005478,-1
1978-06-01,0.3767743689538125,0.7461800398683585,0.9478317919866506,-1
1978-07-01,0.3508599323403405,0.758244170702405,0.957562161399325,-1
1978-08-01,0.35806139907312534,0.7814014306778565,0.9652284584639232,-1
1978-09-01,0.41061749133878245,0.8104553526088983,0.9716938012403051,-1
1978-10-01,0.47153588870456137,0.8339325484088973,0.9775327624780609,-1
1978-11-01,0.5474431356675841,0.8563082286735564,0.9821677123637522,-1
1978-12-01,0.6055015032194843,0.8742247916956556,0.9858464537722083,-1
1979-01-01,0.638545200835319,0.8812899297831744,0.9887653538226823,-1
1979-02-01,0.669344482960041,0.8871966526943301,0.9910812324545155,-1
1979-03-01,0.6838322019447083,0.8818596862310562,0.9929193316066349,-1
1979-04-01,0.7192860661492839,0.8874260451405607,0.9943772802316394,-1
1979-05-01,0.7549897484121559,0.8932037371673965,0.9949137687532834,-1
1979-06-01,0.7770843148216545,0.8928092623569313,0.9946950517934849,-1
1979-07-01,0.7971571682103221,0.8912624962457935,0.9942073916702643,-1
1979-08-01,0.8008575344976757,0.8794876050695178,0.9934444322892809,-1
1979-09-01,0.7936277222505783,0.8592610182842422,0.9916476144780747,-1
1979-10-01,0.8019717759980848,0.8514302562497462,0.9891064988024029,-1
1979-11-01,0.815156689184966,0.8447909870669995,0.9848285955670406,-1
1979-12-01,0.8289582754441751,0.8439920748871155,0.9798306839865972,-1
1980-01-01,0.8358791202840364,0.8454474957493217,0.9769314266252603,-1
1980-02-01,0.8329349500217484,0.828062134145864,0.9720405744955559,100
1980-03-01,0.8499270110912189,0.8375677415071793,0.9714569147271102,100
1980-04-01,0.8372859725747837,0.8328226571443433,0.9625049952929896,100
1980-05-01,0.7925990796011294,0.7878923627740486,0.954215909866307,100
1980-06-01,0.7886353951383732,0.7739488269508215,0.9480145830440697,100
1980-07-01,0.7542559409704066,0.7650898832808068,0.9367036025497063,100
1980-08-01,0.7034520396212978,0.7291478663857786,0.8466118790428532,-1
1980-09-01,0.6686878881000837,0.7131094847284305,0.7909480054704435,-1
1980-10-01,0.5881918006933662,0.7009160358536975,0.8267361610714259,-1
1980-11-01,0.5077065561614593,0.6944537795407413,0.8568879625109049,-1
1980-12-01,0.42903100961280294,0.6306051689394803,0.8781253152441859,-1
1981-01-01,0.4888687355554868,0.673723436318532,0.8973391679444258,-1
1981-02-01,0.5327480135722629,0.6783835504819349,0.9035568911578243,-1
1981-03-01,0.5552465322875388,0.6722547252548026,0.9085887732629564,-1
1981-04-01,0.5600900008293627,0.6433888536839772,0.9172271644317525,-1
1981-05-01,0.49712224890050916,0.5606742888462344,0.9126215366515866,-1
1981-06-01,0.5120849555198226,0.594990514002766,0.9200300312788802,-1
1981-07-01,0.541010693305287,0.6124489377713676,0.9206453458295625,-1
1981-08-01,0.6062962350424621,0.6772466495652485,0.9301843053001257,100
1981-09-01,0.6535818366057338,0.7256532862615321,0.9365581732112347,100
1981-10-01,0.6989544814748943,0.7700234863470191,0.9443779416302132,100
1981-11-01,0.7333664018135475,0.8069379431528101,0.9518399805064588,100
1981-12-01,0.7487269752852042,0.8337599936819503,0.9572577416417148,100
1982-01-01,0.6540639985028608,0.7527078045297287,0.8975931581945874,100
1982-02-01,0.5900308634480307,0.6832654648097518,0.8347756024399258,100
1982-03-01,0.5793302966901306,0.6758131000296462,0.8233927999191858,100
